user,community,degree_centrality_undirected,in_degree_centrality_directed,out_degree_centrality_directed,closeness_centrality_undirected,closeness_centrality_directed,betweenness_centrality_undirected,betweenness_centrality_directed,pagerank,stance_score,stance_leaning
marcomaroni.it,0,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
newyorker.com,0,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
garik16.bsky.social,35,0.002932551319648094,0.0,0.002932551319648094,0.02560163850486431,0.0,0.0009301484361879417,0.0,0.0008512649162196095,0.023807777777777747,neutral
arbrown.bsky.social,35,0.002932551319648094,0.001466275659824047,0.001466275659824047,0.02217741935483871,0.001466275659824047,0.00046938046085410014,2.1531213800646797e-06,0.0012131268076765046,-0.12224926136363634,alcaraz
mattmarolf.bsky.social,1,0.001466275659824047,0.0,0.001466275659824047,0.009897360703812317,0.0,0.0,0.0,0.0008512649162196095,0.07555846794871796,sinner
girinathan.bsky.social,1,0.011730205278592375,0.011730205278592375,0.0,0.015324945605902944,0.01434400102001785,0.00041770554773254783,0.0,0.008745450027565379,0.0,neutral
mikejohansenmd.medsky.social,2,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:y3cfhqre6iuilnhwp23fgl2v,2,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
fadabiaedofonseca.bsky.social,15,0.00439882697947214,0.001466275659824047,0.00439882697947214,0.028432588916459885,0.002618349392542941,0.0018947468144569174,1.0765606900323399e-05,0.0011566066844566508,-0.12290352813852812,alcaraz
doppiofallo.eurosky.social,15,0.002932551319648094,0.002932551319648094,0.0,0.026323346415238823,0.003519061583577713,0.0,0.0,0.001648276586175972,0.0019112499999999963,neutral
sofiainlondon09.bsky.social,15,0.00879765395894428,0.002932551319648094,0.007331378299120235,0.02880184331797235,0.0036656891495601175,0.002734464152682142,7.105300554213443e-05,0.00179569295134734,-0.009999999999999997,neutral
edmullen3.bsky.social,3,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
demcae.bsky.social,3,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,-0.08231100699300697,alcaraz
